"slug","data","horario","titulo","temas","abertura","expositores","debatedores","moderacao","url_iea","url_video"
"2026-justica-economia-democracia","2026-04-29","14h às 17h","Justiça, Economia e Agenda Democrática no Brasil","Justiça e instituições","","Luciano Benetti Timm (FEAC-USP); Ivar Alberto Hartmann (Insper)","","Maria Tereza Aina Sadek (FFLCH-USP e IEA-USP); Luciana Yeung (Insper e IEA-USP)","https://www.iea.usp.br/eventos/justica-economia-democratica-brasil-1","https://youtu.be/bbMmh02ZB1o"
"2025-brasil-nova-era-geoeconomia","2025-08-07","9h às 13h","O Brasil na Nova Era da Geoeconomia: como se Situar, como Responder","Geopolítica e geoeconomia;Economia política","","José Roberto Mendonça de Barros (MB Associados); Lourdes Sola (IEA-USP); Raul Jungmann (CEBRI e IBRAM); Rubens Barbosa (Gacint, IRICE e CEDESEN)","","Eduardo Viola (IEA-USP)","https://www.iea.usp.br/eventos/brasil-nova-era-geoeconomia","https://www.youtube.com/watch?v=mTcDYckooLo"
"2025-transformacoes-sistema-internacional","2025-05-22","14h às 17h","Transformações do Sistema Internacional em 2025 e seu Impacto no Brasil","Geopolítica e geoeconomia","","Embaixador Rubens Ricupero; Feliciano Guimarães (IRI-USP e CEBRI); Guilherme Casarões (FGV-EAESP); Eduardo Viola (IEA-USP e FGV-RI)","","Lourdes Sola (IEA-USP)","https://www.iea.usp.br/eventos/transformacoes-sistema-internacional-2025","https://www.youtube.com/watch?v=SGrAPyuyVIw"
"2024-nova-geopolitica-global","2024-10-02","14h às 17h30","A Nova Geopolítica Global e o Lugar do Brasil","Geopolítica e geoeconomia","","Cristiane Lucena Carneiro (IRI-USP); Matias Spektor (FGV-RI); Oliver Stuenkel (FGV-RI); Eduardo Viola (FGV-RI e IEA-USP)","","Lourdes Sola (IEA-USP)","https://www.iea.usp.br/eventos/geopolitica-global-lugar-brasil","https://youtu.be/WArrpktbjW8"
"2023-ideias-economicas-decisoes-politicas","2023-12-04","","Ideias Econômicas, Decisões Políticas: Técnicos e Políticos no Governo da Economia","Economia política;Lançamento de livro","Guilherme Ary Plonski (IEA-USP); Rafael Villa (DCP-USP)","Lourdes Sola (FFLCH-USP e IEA-USP)","Marcus André Melo (UFPE); Maria Tereza Sadek (DCP-USP e FGV); Marcos Lisboa (Insper); Ana Maria Bianchi (FEA-USP)","Janina Onuki (DCP-USP)","https://www.iea.usp.br/eventos/ideias-economicas-decisoes-politicas","https://www.youtube.com/live/9s0NuQRpn2o"
"2023-shaping-nations-markets","2023-10-16","10h30 às 12h","Shaping Nations and Markets: Identity Capital, Trade and the Populist Rage","Economia política;Lançamento de livro","","Vinícius Rodrigues Vieira (FAAP)","","Cristiane Lucena (IRI-USP)","https://www.iea.usp.br/eventos/lancamento-shaping-nations-markets-identity","https://youtu.be/FGE2ZQZTfs4"
"2023-great-power-competition","2023-07-13","10h às 12h30","Great Power Competition and Regional Orders: Past, Present and Future","Geopolítica e geoeconomia","Lourdes Sola (IEA-USP)","T. V. Paul (McGill University); Eduardo Viola (FGV e IEA-USP)","","Vinícius Rodrigues Vieira (FAAP); Elizabeth Balbachevsky (FFLCH-USP e IEA-USP)","https://www.iea.usp.br/eventos/great-power-competition-past-present-future","https://youtu.be/QuJmHZkgY5g"
"2023-soft-power-hard-power","2023-05-16","9h às 13h","Impacto da Economia e das Instituições no Soft Power e no Hard Power","Economia política","Janina Onuki (FFLCH-USP e IEA-USP)","Sergio Vale (MB Associados); Pedro da Motta Veiga (CINDES); Cristiane Lucena (IRI-USP); Amâncio Oliveira (IRI-USP)","","Eduardo Viola (IRI-USP e IEA-USP)","https://www.iea.usp.br/eventos/impacto-economia-soft-power-hard-power","https://youtu.be/_FkNnoaMmfk"
"2022-transformacoes-sistema-internacional","2022-12-08","9h às 12h","As Transformações do Sistema Internacional nos Últimos 5 Anos e seu Impacto no Brasil","Geopolítica e geoeconomia","","José Augusto Guilhon de Albuquerque (USP); Laurence Whitehead (Oxford University); Matias Spektor (FGV-RI e Princeton University)","","Eduardo Viola (IEA-USP e FGV-RI)","https://www.iea.usp.br/eventos/transformacoes-sistema-internacional-ultimos-5-anos","https://youtu.be/aHMxw32rAJs"
"2022-continuidade-ruptura","2022-09-12","10h30 às 12h","Continuidade e Ruptura na Construção Nacional do Brasil","Democracia","","Lourdes Sola (IEA-USP); Jorge Caldeira; Maria Tereza Sadek (IEA-USP); Eduardo Viola (IEA-USP)","José Álvaro Moisés (IEA-USP); Larissa Basso (IEA-USP)","","https://www.iea.usp.br/eventos/continuidade-ruptura-construcao-nacional","https://youtu.be/qlVagBE1CBE"
"2021-agronegocio-economia-politica","2021-11-19","16h às 18h","O Agronegócio pelas Lentes da Economia Política: Desafios de Governança Democrática","Agronegócio;Economia política","","Giovana Araújo (KPMG); Luiz Carlos Corrêa de Carvalho (Canaplan); Marcello Brito (ABAG)","","Lourdes Sola (NUPPS e IEA-USP)","https://www.iea.usp.br/eventos/o-agronegocio-lentes-da-economia","https://youtu.be/TKcBxyekHm0"
"2021-homenagem-weffort","2021-10-07","9h30 às 16h30","Homenagem ao Prof. Francisco Corrêa Weffort","Democracia","","Guilherme Ary Plonski (IEA-USP); José Álvaro Moisés (IEA-USP); João Paulo Cândia Veiga (FFLCH-USP); Elizabeth Balbachevsky (NUPPS e IEA-USP); Juan Carlos Torre (Universidad Torcuato Di Tella); Lourdes Sola (NUPPS e FFLCH-USP); Maria Hermínia Tavares de Almeida (FFLCH-USP); Luiz Werneck Vianna (PUC-Rio)","","","https://www.iea.usp.br/eventos/homenagem-prof-weffort","https://youtu.be/HnsIsg5DPNo"
