"slug","data","quando","status","titulo","local","tipo","membros","detalhe"
"2027-ipsa-roma","2027-07-01","2027","previsto","29º Congresso Mundial da IPSA","Roma, Itália","Organização de painéis e eventos","Eduardo Viola; Vinícius Rodrigues Vieira","Programação dos painéis do RC51 (Economia Política Internacional), em preparação desde junho de 2026."
"2026-ipsa-wip","2026-07-15","15–17 jul. 2026","","Work-in-Progress 2026 da IPSA","Online","Apresentação de trabalho","Lourdes Sola; Sérgio Vale; Paulo Flores","Working paper “Emerging Middle Classes and Political Discontent in Brazil: rethinking the economic and non-economic determinants of polarization”."
"2026-rc51-dublin","2026-07-01","jul. 2026","","Workshop do RC51: Geoeconomia e Desenvolvimento","University College Dublin, Irlanda","Organização de painéis e eventos","Vinícius Rodrigues Vieira","Coorganização, com apoio de Krishna Vadlamannati."
"2026-homenagem-moises","2026-04-22","22 abr. 2026","","Os Brasileiros e a Democracia: homenagem a José Álvaro Moisés","Biblioteca Brasiliana Guita e José Mindlin, USP","Mesa-redonda e palestra","Lourdes Sola; Maria Tereza Sadek",""
"2026-mpsa","2026-01-01","2026","","Annual Meeting da Midwest Political Science Association","Chicago, EUA","Apresentação de trabalho","Cristiane Lucena Carneiro","“Brazil in the Multilateral Trading System: Between Domestic Pressures and Global Shifts”, com Luiz Antonio Camilher."
"2025-making-sense","2025-12-15","15 dez. 2025","","Making sense of where we are","Faculdade de Direito da USP","Mesa-redonda e palestra","Lourdes Sola","Com Andrew Hurrell (Oxford University) e Celso Lafer."
"2025-congresso-posdocs-usp","2025-09-15","15–17 set. 2025","","II Congresso de Pós-Doutorandos da USP","Centro de Difusão Internacional da USP","Apresentação de trabalho","Larissa Basso","“The causal process of an international commitment…”."
"2025-anppas","2025-09-01","1–4 set. 2025","","XII Encontro Nacional da ANPPAS","USP, São Paulo","Apresentação de trabalho","Larissa Basso","“Uma moldura para medir o alinhamento com a descarbonização”."
"2025-isa-abri","2025-07-21","21–24 jul. 2025","","Conferência ISA/ABRI","USP, São Paulo","Mesa-redonda e palestra","Larissa Basso","Minicurso sobre política climática brasileira e coordenação da mesa “Quais as perspectivas para a COP30 diante dos desafios da agenda global?”."
"2025-ipsa-seul","2025-07-12","jul. 2025","","28º Congresso Mundial da IPSA","Seul, Coreia do Sul","Organização de painéis e eventos","Eduardo Viola; Vinícius Rodrigues Vieira; Moisés Marques","Coliderança do programa do RC51, com 28 painéis e mesas — o maior de Economia Política Internacional desde a criação do comitê, em 2012. Moisés Marques apresentou “Liberal reforms and democracy: revisiting the incremental institutional building of the financial order in Brazil” e participou de mesa-redonda com Vinícius Rodrigues Vieira e T. V. Paul."
